SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2115 Ingersoll Ct,Plainfield,IL,60586,285000,2,2.5,Kendall Ridge,1500,,1997,4,190,17,Active,,,https://www.redfin.com/IL/Plainfield/2115-Ingersoll-Ct-60586/home/14236413,MRED as Distributed by MLS Grid,12162215,N,Y,41.5596604,-88.2572782
MLS Listing,,Townhouse,21754 W Empress Ln,Plainfield,IL,60544,359000,3,3.0,Carillon,1385,2666,1999,4,259,254,Active,,,https://www.redfin.com/IL/Plainfield/21754-W-Empress-Ln-60544/home/23201377,MRED as Distributed by MLS Grid,12163508,N,Y,41.63573,-88.141722
MLS Listing,,Single Family Residential,6217 Clifton Ct,Plainfield,IL,60586,425000,4,2.5,Pheasant Ridge,2738,7840,2003,18,155,10,Active,,,https://www.redfin.com/IL/Plainfield/6217-Clifton-Ct-60586/home/23230360,MRED as Distributed by MLS Grid,12144352,N,Y,41.5589561,-88.2361435
MLS Listing,,Single Family Residential,11700 S Presley Cir,Plainfield,IL,60585,479900,4,2.5,Century Trace,2332,11761,2003,22,206,50,Active,,,https://www.redfin.com/IL/Plainfield/11700-S-Presley-Cir-60585/home/23230469,MRED as Distributed by MLS Grid,12147998,N,Y,41.669972,-88.2294016
MLS Listing,,Single Family Residential,16400 Fox Creek Ln,Plainfield,IL,60586,469900,6,3.5,Streams of Plainfield,2888,23958,2006,27,163,56,Active,,,https://www.redfin.com/IL/Plainfield/16400-Fox-Creek-Ln-60586/home/23384949,MRED as Distributed by MLS Grid,12139030,N,Y,41.5843471,-88.2077569
MLS Listing,,Single Family Residential,26109 Mapleview Dr,Plainfield,IL,60585,629999,4,3.5,Plainfield,3742,11050,2007,33,168,96,Active,,,https://www.redfin.com/IL/Plainfield/26109-Mapleview-Dr-60585/home/18249273,MRED as Distributed by MLS Grid,12139074,N,Y,41.6396239,-88.2533485
MLS Listing,,Single Family Residential,2191 Mark Cir,Bolingbrook,IL,60490,652000,5,3.5,Bolingbrook,4094,12250,2001,34,159,,Active,,,https://www.redfin.com/IL/Bolingbrook/2191-Mark-Cir-60490/home/23348066,MRED as Distributed by MLS Grid,12136579,N,Y,41.6552678,-88.1688791
MLS Listing,,Single Family Residential,25030 Round Barn Rd,Plainfield,IL,60585,475000,4,2.5,Walkers Grove,2358,10018,1998,61,201,15,Active,,,https://www.redfin.com/IL/Plainfield/25030-Round-Barn-Rd-60585/home/23297966,MRED as Distributed by MLS Grid,12108503,N,Y,41.6376271,-88.2291961
Redfin Data,,Single Family Residential,25052 Michele Dr,Plainfield,IL,60544,484900,4,2.5,Plainfield,2430,9958,2001,1,200,,Pre On-Market,,,https://www.redfin.com/IL/Plainfield/25052-Michele-Dr-60544/home/23324605,Coming Soon,101738,N,Y,41.6315765,-88.2292621
Redfin Data,,Single Family Residential,13422 Lindengate Ct,Plainfield,IL,60585,649900,5,4.5,Plainfield,3121,10890,2006,8,208,96,Pre On-Market,,,https://www.redfin.com/IL/Plainfield/13422-Lindengate-Ct-60585/home/14256104,Coming Soon,101587,N,Y,41.637815,-88.2670121
MLS Listing,,Single Family Residential,23430 W Link Ln,Plainfield,IL,60586,340000,3,2.0,Plainfield,1566,16552,1990,1,217,,Active,,,https://www.redfin.com/IL/Plainfield/23430-W-Link-Ln-60586/home/23295432,MRED as Distributed by MLS Grid,12153838,N,Y,41.5831862,-88.1877978
MLS Listing,,Townhouse,3710 Adesso Ln,Joliet,IL,60435,327400,3,2.5,Lakewood Falls,1488,,2005,1,220,21,Active,,,https://www.redfin.com/IL/Joliet/3710-Adesso-Ln-60435/home/23367036,MRED as Distributed by MLS Grid,12165480,N,Y,41.589391,-88.1587886
MLS Listing,,Single Family Residential,6707 Overland Dr,Plainfield,IL,60586,459990,4,2.5,Ashford Place,2356,,2024,1,195,25,Active,,,https://www.redfin.com/IL/Plainfield/6707-Overland-DR-60586/home/191086561,MRED as Distributed by MLS Grid,12165421,N,Y,41.56132888793945,-88.25137329101562
MLS Listing,,Single Family Residential,6703 Overland Dr,Plainfield,IL,60586,444990,4,2.5,Ashford Place,2051,9800,2024,1,217,25,Active,,,https://www.redfin.com/IL/Plainfield/6703-Overland-DR-60586/home/190110392,MRED as Distributed by MLS Grid,12165412,N,Y,41.55887985229492,-88.25077056884766
MLS Listing,,Single Family Residential,25123 W Zoumar Dr,Plainfield,IL,60586,510000,5,3.5,Springbank,3133,8712,2006,1,163,51,Active,,,https://www.redfin.com/IL/Plainfield/25123-W-Zoumar-Dr-60586/home/23253451,MRED as Distributed by MLS Grid,12161009,N,Y,41.5918584,-88.2301021
MLS Listing,,Single Family Residential,16415 S Mueller Cir,Plainfield,IL,60586,539900,3,2.0,Springbank,2000,10454,2019,1,270,51,Active,,,https://www.redfin.com/IL/Plainfield/16415-S-Mueller-Cir-60586/home/23232966,MRED as Distributed by MLS Grid,12164770,N,Y,41.583709,-88.2335409
MLS Listing,,Single Family Residential,1804 Country Oaks Dr,Plainfield,IL,60586,360000,4,3.0,Wesmere,1957,9583,1998,1,184,95,Active,,,https://www.redfin.com/IL/Plainfield/1804-Country-Oaks-Dr-60586/home/23378716,MRED as Distributed by MLS Grid,12151021,N,Y,41.5547972,-88.2152317
MLS Listing,,Townhouse,24024 Walnut Cir,Plainfield,IL,60585,385000,3,3.5,Walnut Creek,1650,,2005,3,233,219,Active,,,https://www.redfin.com/IL/Plainfield/24024-W-Walnut-Cir-60585/home/23358646,MRED as Distributed by MLS Grid,12164199,N,Y,41.663902,-88.209048
MLS Listing,,Single Family Residential,13600 S Sanibel St,Plainfield,IL,60544,429990,3,2.5,Playa Vista,1818,7500,2024,3,237,75,Active,,,https://www.redfin.com/IL/Plainfield/13600-Sanibel-St-60544/home/192560652,MRED as Distributed by MLS Grid,12162472,N,Y,41.6332408,-88.2612146
MLS Listing,,Single Family Residential,6518 Glacier Ridge Dr,Plainfield,IL,60586,415000,4,3.0,Caton Ridge,2962,6969,2005,3,140,29,Active,,,https://www.redfin.com/IL/Plainfield/6518-Glacier-Ridge-Dr-60586/home/23363959,MRED as Distributed by MLS Grid,12163247,N,Y,41.5542541,-88.2435133
MLS Listing,,Townhouse,20954 W Blossom Ln,Plainfield,IL,60544,264900,2,1.0,Carillon,1285,2196,1999,4,206,287,Active,,,https://www.redfin.com/IL/Plainfield/20954-W-Blossom-Ln-60544/home/12982126,MRED as Distributed by MLS Grid,12163273,N,Y,41.645691,-88.128856
MLS Listing,,Single Family Residential,7601 Heatherstone Ln,Plainfield,IL,60586,417000,4,2.5,Clublands,2400,7731,2003,4,174,60,Active,,,https://www.redfin.com/IL/Plainfield/7601-Heatherstone-Ln-60586/home/14228811,MRED as Distributed by MLS Grid,12162042,N,Y,41.5598295,-88.2678695
MLS Listing,,Single Family Residential,7513 Rosewind Dr,Plainfield,IL,60586,399500,4,2.5,Clublands,2359,,2002,4,169,60,Active,,,https://www.redfin.com/IL/Plainfield/7513-Rosewind-Dr-60586/home/14229125,MRED as Distributed by MLS Grid,12149909,N,Y,41.5618513,-88.2671644
MLS Listing,,Single Family Residential,12854 S Sydney Cir,Plainfield,IL,60585,837000,4,3.5,Plainfield,3616,12500,2024,4,231,98,Active,,,https://www.redfin.com/IL/Plainfield/12854-S-Sydney-Cir-60585/home/191295356,MRED as Distributed by MLS Grid,12163858,N,Y,41.6454808,-88.2199138
MLS Listing,,Single Family Residential,12901 S Twin Pines Ln,Plainfield,IL,60585,760000,4,2.5,Plainfield,3277,12500,2024,4,232,98,Active,,,https://www.redfin.com/IL/Plainfield/12901-S-Twin-Pines-LN-60585/home/191295369,MRED as Distributed by MLS Grid,12163854,N,Y,41.6572237,-88.2169027
MLS Listing,,Single Family Residential,13031 S Vicarage Dr,Plainfield,IL,60585,710000,4,2.5,Plainfield,3126,12500,2024,4,227,98,Active,,,https://www.redfin.com/IL/Plainfield/13031-S-Vicarage-Dr-60585/home/191249313,MRED as Distributed by MLS Grid,12163848,N,Y,41.6484827,-88.2167507
MLS Listing,,Single Family Residential,24715 W Alexis Ln,Plainfield,IL,60585,595000,3,2.5,Plainfield,2391,10875,2024,4,249,98,Active,,,https://www.redfin.com/IL/Plainfield/24715-W-Alexis-Ln-60585/home/191249251,MRED as Distributed by MLS Grid,12163842,N,Y,41.6507234,-88.2173428
MLS Listing,,Townhouse,12804 S Nicholas Dr,Plainfield,IL,60585,473959,3,2.5,Plainfield,1990,1632,2024,4,238,345,Active,,,https://www.redfin.com/IL/Plainfield/12804-S-Nicholas-Dr-60585/home/190922236,MRED as Distributed by MLS Grid,12163833,N,Y,41.6487901,-88.2163004
MLS Listing,,Townhouse,24351 W Alexis Ln,Plainfield,IL,60585,435830,3,2.5,Plainfield,1883,1632,2024,4,231,345,Active,,,https://www.redfin.com/IL/Plainfield/24351-W-Alexis-Ln-60585/home/191111779,MRED as Distributed by MLS Grid,12163827,N,Y,41.64906692504883,-88.21697235107422
MLS Listing,,Single Family Residential,6906 Applegate Dr,Plainfield,IL,60586,335000,3,2.5,Plainfield,1886,10890,2001,4,178,,Active,,,https://www.redfin.com/IL/Plainfield/6906-Applegate-Dr-60586/home/21766327,MRED as Distributed by MLS Grid,12152506,N,Y,41.5543656,-88.2512146
MLS Listing,,Single Family Residential,12617 Blue Iris Ln,Plainfield,IL,60585,575000,4,2.5,Canterbury Woods,2601,11761,2007,4,221,42,Active,,,https://www.redfin.com/IL/Plainfield/12617-Blue-Iris-Ln-60585/home/23391632,MRED as Distributed by MLS Grid,12158108,N,Y,41.6523713,-88.2282354
MLS Listing,,Single Family Residential,2809 Frank Turk Dr,Plainfield,IL,60586,360000,3,2.0,Mayfair,1792,21780,1994,5,201,,Active,,,https://www.redfin.com/IL/Plainfield/2809-Frank-Turk-Dr-60586/home/23345194,MRED as Distributed by MLS Grid,12161728,N,Y,41.5730842,-88.240385
MLS Listing,,Condo/Co-op,5112 Edgewater Ct #5112,Plainfield,IL,60586,289000,2,2.0,Hampton Glen,1805,,2004,5,160,210,Active,,,https://www.redfin.com/IL/Plainfield/5112-Edgewater-Ct-60586/unit-5112/home/18464874,MRED as Distributed by MLS Grid,12162762,N,Y,41.5468682,-88.2051009
MLS Listing,,Single Family Residential,16926 S Callie Dr,Plainfield,IL,60586,480000,4,2.5,Springbank,2800,10454,2019,5,171,52,Active,,,https://www.redfin.com/IL/Plainfield/16926-S-Callie-Dr-60586/home/23207032,MRED as Distributed by MLS Grid,12135216,N,Y,41.574539,-88.2360586
MLS Listing,,Single Family Residential,16004 S Selfridge Cir,Plainfield,IL,60586,689000,4,3.5,North Point at Springbank,3052,,2016,5,226,51,Active,,,https://www.redfin.com/IL/Plainfield/16004-S-Selfridge-Cir-60586/home/23284456,MRED as Distributed by MLS Grid,12156114,N,Y,41.5902032,-88.2303146
MLS Listing,,Single Family Residential,25509 Rock Dr,Plainfield,IL,60586,550000,4,2.5,Springbank,2900,10018,2017,5,190,58,Active,,,https://www.redfin.com/IL/Plainfield/25509-W-Rock-Dr-60586/home/23274882,MRED as Distributed by MLS Grid,12162367,N,Y,41.5809672,-88.2342274
MLS Listing,,Single Family Residential,13613 Arborview Blvd,Plainfield,IL,60585,580000,5,4.0,Grande Park,4369,10497,2006,5,133,96,Active,,,https://www.redfin.com/IL/Plainfield/13613-Arborview-Blvd-60585/home/14253904,MRED as Distributed by MLS Grid,12160826,N,Y,41.6339387,-88.2713802
MLS Listing,,Single Family Residential,24314 Walnut Cir,Plainfield,IL,60585,499990,4,2.5,Plainfield,2228,10454,2003,5,224,12,Active,,,https://www.redfin.com/IL/Plainfield/24314-W-Walnut-Cir-60585/home/21769709,MRED as Distributed by MLS Grid,12159013,N,Y,41.664379,-88.211925
MLS Listing,,Single Family Residential,5203 Summerfield Ct,Plainfield,IL,60586,400000,4,2.5,Summerfield,2166,13068,1994,5,185,15,Active,,,https://www.redfin.com/IL/Plainfield/5203-Summerfield-Ct-60586/home/23218057,MRED as Distributed by MLS Grid,12154953,N,Y,41.5525279,-88.2098812
MLS Listing,,Townhouse,2414 Cactus Ct,Plainfield,IL,60586,289000,3,2.5,Clearwater Springs,1923,,2002,5,150,268,Active,,,https://www.redfin.com/IL/Plainfield/2414-Cactus-Ct-60586/home/23400528,MRED as Distributed by MLS Grid,12158650,N,Y,41.5655865,-88.2464712
MLS Listing,,Single Family Residential,2042 Legacy Pointe Blvd,Plainfield,IL,60586,550000,4,2.5,Plainfield,2836,8820,2023,6,194,25,Active,September-22-2024 11:00 AM,September-22-2024 01:00 PM,https://www.redfin.com/IL/Plainfield/2042-Legacy-Pointe-Blvd-60586/home/184344036,MRED as Distributed by MLS Grid,12161654,N,Y,41.5628426,-88.2481733
MLS Listing,,Single Family Residential,13113 Cathy Ln,Plainfield,IL,60585,550000,4,3.5,Graver Country Estates,3804,29620,1988,6,145,,Active,,,https://www.redfin.com/IL/Plainfield/13113-Cathy-Ln-60585/home/23300883,MRED as Distributed by MLS Grid,12157235,N,Y,41.6441388,-88.2016343
MLS Listing,,Single Family Residential,12907 Terrace Blvd,Plainfield,IL,60585,449000,4,2.5,Tuttle Estates,,10446,2005,7,,15,Active,,,https://www.redfin.com/IL/Plainfield/12907-Terrace-Blvd-60585/home/17319766,MRED as Distributed by MLS Grid,12160811,N,Y,41.6466522,-88.2363016
MLS Listing,,Single Family Residential,14633 Meadow Ln,Plainfield,IL,60544,524999,4,2.5,Liberty Grove,2912,9147,2005,7,180,52,Active,,,https://www.redfin.com/IL/Plainfield/14633-Meadow-Ln-60544/home/23370172,MRED as Distributed by MLS Grid,12160790,N,Y,41.6154479,-88.2305706
MLS Listing,,Single Family Residential,1214 Laurakriss Ct,Plainfield,IL,60586,449900,4,2.5,Plainfield,2054,,1997,8,219,23,Active,,,https://www.redfin.com/IL/Plainfield/1214-Laurakriss-Ct-60586/home/23358952,MRED as Distributed by MLS Grid,12159730,N,Y,41.5445624,-88.2109729
MLS Listing,,Single Family Residential,25113 W Prairie Grove Dr,Plainfield,IL,60585,605000,5,2.5,White Ash Farm,3415,10332,2016,8,177,46,Active,,,https://www.redfin.com/IL/Plainfield/25113-W-Prairie-Grove-Dr-60585/home/23232514,MRED as Distributed by MLS Grid,12158345,N,Y,41.6604374,-88.2314364
MLS Listing,,Condo/Co-op,2209 Horseshoe Cir #08203,Naperville,IL,60564,410064,2,2.5,Naperville,1883,1728,2024,8,218,331,Active,,,https://www.redfin.com/IL/Naperville/2209-Horseshoe-Cir-60564/unit-08203/home/192442633,MRED as Distributed by MLS Grid,12159220,N,Y,41.6672575,-88.1883312
MLS Listing,,Condo/Co-op,2211 Horseshoe Cir #08204,Naperville,IL,60564,422064,3,2.5,Naperville,1883,1728,2024,8,224,331,Active,,,https://www.redfin.com/IL/Naperville/2211-Horseshoe-Cir-60564/unit-08204/home/192442615,MRED as Distributed by MLS Grid,12159297,N,Y,41.667192,-88.1883312
MLS Listing,,Condo/Co-op,2229 Horseshoe Cir #09505,Naperville,IL,60564,395990,3,2.5,Naperville,1883,1728,2024,8,210,331,Active,,,https://www.redfin.com/IL/Naperville/2229-Horseshoe-Cir-60564/unit-09505/home/192442580,MRED as Distributed by MLS Grid,12159313,N,Y,41.6667542,-88.1889126
MLS Listing,,Condo/Co-op,2231 Horseshoe Cir #09506,Naperville,IL,60564,400990,3,2.5,Naperville,1883,1728,2024,8,213,331,Active,,,https://www.redfin.com/IL/Naperville/2231-Horseshoe-Cir-60564/unit-09506/home/192442523,MRED as Distributed by MLS Grid,12159194,N,Y,41.6667535,-88.1889958
MLS Listing,,Single Family Residential,15811 S River Ct,Plainfield,IL,60544,385000,3,2.5,Plainfield,1676,,1971,8,230,,Active,,,https://www.redfin.com/IL/Plainfield/15811-S-River-Ct-60544/home/12607076,MRED as Distributed by MLS Grid,12153954,N,Y,41.5948015,-88.2186004
MLS Listing,,Condo/Co-op,5947 Hawkweed Dr #08105,Naperville,IL,60564,463368,3,2.5,Naperville,1978,1728,2024,8,234,331,Active,,,https://www.redfin.com/IL/Naperville/5947-Hawkweed-Dr-60564/unit-08105/home/192442514,MRED as Distributed by MLS Grid,12159245,N,Y,41.6676106,-88.1883814
MLS Listing,,Condo/Co-op,2237 Horseshoe Cir #09603,Naperville,IL,60564,379490,2,2.5,Naperville,1883,1728,2024,8,202,331,Active,,,https://www.redfin.com/IL/Naperville/2237-Horseshoe-Cir-60564/unit-09603/home/192440263,MRED as Distributed by MLS Grid,12153784,N,Y,41.6667522,-88.1893204
MLS Listing,,Condo/Co-op,2233 Horseshoe Cir #09601,Naperville,IL,60564,385990,3,2.5,Naperville,1883,1728,2024,8,205,331,Active,,,https://www.redfin.com/IL/Naperville/2233-Horseshoe-Cir-60564/unit-09601/home/192440093,MRED as Distributed by MLS Grid,12153765,N,Y,41.6667535,-88.1891494
MLS Listing,,Single Family Residential,25804 W Springside St,Plainfield,IL,60586,598326,3,3.0,Creekside Crossing,2365,10890,2025,8,253,33,Active,,,https://www.redfin.com/IL/Plainfield/25804-W-Springside-St-60586/home/192394202,MRED as Distributed by MLS Grid,12157383,N,Y,41.5869453,-88.2450988
MLS Listing,,Single Family Residential,21726 W Hemingway Ct,Plainfield,IL,60544,355000,4,1.5,Lakewood Falls,1427,9147,1997,8,249,73,Active,,,https://www.redfin.com/IL/Plainfield/21726-W-Hemingway-Ct-60544/home/23331812,MRED as Distributed by MLS Grid,12158696,N,Y,41.6267525,-88.147697
MLS Listing,,Townhouse,11920 Winterberry Ln,Plainfield,IL,60585,387000,2,2.5,Plainfield,2282,,2004,9,170,297,Active,,,https://www.redfin.com/IL/Plainfield/11920-Winterberry-Ln-60585/home/23377834,MRED as Distributed by MLS Grid,12158607,N,Y,41.6633,-88.2240353
MLS Listing,,Single Family Residential,16155 S Summit St,Plainfield,IL,60586,629900,5,3.0,Creekside Crossing,3084,10890,2024,9,204,33,Active,,,https://www.redfin.com/IL/Plainfield/16155-S-Summit-St-60544/home/192000204,MRED as Distributed by MLS Grid,12158492,N,Y,41.588252,-88.245891
MLS Listing,,Single Family Residential,2909 Discovery Dr,Plainfield,IL,60586,470000,5,3.5,Plainfield,2694,10890,2005,9,174,29,Active,,,https://www.redfin.com/IL/Plainfield/2909-Discovery-Dr-60586/home/23366654,MRED as Distributed by MLS Grid,12158377,N,Y,41.574292,-88.2480007
MLS Listing,,Single Family Residential,6451 Walter Adamic Ln,Plainfield,IL,60586,349000,3,2.0,Plainfield,1744,3668,1994,10,200,,Active,,,https://www.redfin.com/IL/Plainfield/6451-Walter-Adamic-Ln-60586/home/23384707,MRED as Distributed by MLS Grid,12157876,N,Y,41.573966,-88.241341
MLS Listing,,Single Family Residential,23720 Adams Ct,Plainfield,IL,60586,535000,5,2.5,Arbor of Plainfield,2451,11325,2010,10,218,,Active,,,https://www.redfin.com/IL/Plainfield/23720-Adams-Ct-60586/home/23159832,MRED as Distributed by MLS Grid,11978384,N,Y,41.5816688,-88.194723
MLS Listing,,Single Family Residential,16112 S Clearwater Dr,Plainfield,IL,60586,569900,4,2.5,Creekside Crossing,2612,10890,2024,10,218,33,Active,,,https://www.redfin.com/IL/Plainfield/16112-S-Clearwater-Dr-60586/home/192373973,MRED as Distributed by MLS Grid,12158129,N,Y,41.5886744,-88.2425754
MLS Listing,,Single Family Residential,13765 Capista Dr,Plainfield,IL,60544,550000,7,3.5,Plainfield,2736,8712,1998,11,201,25,Active,,,https://www.redfin.com/IL/Plainfield/13765-Capista-Dr-60544/home/12958488,MRED as Distributed by MLS Grid,12157973,N,Y,41.6329047,-88.190469
MLS Listing,,Single Family Residential,25512 W Veranium Dr,Plainfield,IL,60544,459990,2,2.0,Greenbriar,1744,6500,2024,11,264,112,Active,,,https://www.redfin.com/IL/Plainfield/25512-W-Veranium-Dr-60544/home/192405140,MRED as Distributed by MLS Grid,12157490,N,Y,41.6153166,-88.2396503
MLS Listing,,Single Family Residential,14824 S Greenbriar Dr,Plainfield,IL,60544,534990,4,2.0,Greenbriar,1970,9870,2024,11,272,43,Active,,,https://www.redfin.com/IL/Plainfield/14824-S-Greenbriar-Dr-60544/home/192405050,MRED as Distributed by MLS Grid,12157355,N,Y,41.6103036,-88.2386725
MLS Listing,,Townhouse,24368 Leski Ln,Plainfield,IL,60585,375000,3,2.5,Crossings at Wolf Creek,1537,2475,2003,11,244,215,Active,,,https://www.redfin.com/IL/Plainfield/24368-Leski-Ln-60585/home/23397063,MRED as Distributed by MLS Grid,12157346,N,Y,41.6668599,-88.2104046
MLS Listing,,Single Family Residential,26411 Silverleaf Dr,Plainfield,IL,60585,699990,5,5.0,Grande Park,4150,17424,2006,11,169,96,Active,,,https://www.redfin.com/IL/Plainfield/26411-Silverleaf-Dr-60585/home/14255901,MRED as Distributed by MLS Grid,12157149,N,Y,41.6444761,-88.2597275
MLS Listing,,Single Family Residential,13121 Merganser Cv,Plainfield,IL,60585,1270000,4,4.0,The Lakelands,5800,15510,1999,12,219,162,Active,,,https://www.redfin.com/IL/Plainfield/13121-Merganser-Cv-60585/home/23358612,MRED as Distributed by MLS Grid,12155875,N,Y,41.6443436,-88.1769554
MLS Listing,,Townhouse,2662 Canyon Dr,Plainfield,IL,60586,244999,2,2.5,Courtyards of Aspen Falls,1360,,2002,12,180,155,Active,,,https://www.redfin.com/IL/Plainfield/2662-Canyon-Dr-60586/home/23250700,MRED as Distributed by MLS Grid,12156208,N,Y,41.5695076,-88.2551066
MLS Listing,,Single Family Residential,25114 Vermette Rd,Plainfield,IL,60585,475000,4,2.5,Plainfield,2465,10000,1996,12,193,15,Active,,,https://www.redfin.com/IL/Plainfield/25114-Vermette-Rd-60585/home/23158215,MRED as Distributed by MLS Grid,12155911,N,Y,41.6432632,-88.2310581
MLS Listing,,Townhouse,11961 Winterberry Ln,Plainfield,IL,60585,430000,3,3.5,Heritage Oaks,1974,,2006,12,218,297,Active,,,https://www.redfin.com/IL/Plainfield/11961-Winterberry-Ln-60585/home/23374893,MRED as Distributed by MLS Grid,12156040,N,Y,41.6648002,-88.225491
MLS Listing,,Single Family Residential,1723 Hidden Oaks Ct,Plainfield,IL,60586,425000,4,2.5,Wesmere,2508,,2000,12,169,93,Active,,,https://www.redfin.com/IL/Plainfield/1723-Hidden-Oaks-Ct-60586/home/23229406,MRED as Distributed by MLS Grid,12155866,N,Y,41.5527497,-88.2168986
MLS Listing,,Single Family Residential,24137 Nottingham Ave,Plainfield,IL,60585,585000,4,2.5,Kensington Club,2759,7300,2003,12,212,72,Active,,,https://www.redfin.com/IL/Plainfield/24137-Nottingham-Ave-60585/home/21759751,MRED as Distributed by MLS Grid,12149857,N,Y,41.6464089,-88.2071055
MLS Listing,,Single Family Residential,21057 W Aspen Ln,Plainfield,IL,60544,364900,2,2.0,Carillon,1430,2613,1999,12,255,262,Active,,,https://www.redfin.com/IL/Plainfield/21057-W-Aspen-Ln-60544/home/21628173,MRED as Distributed by MLS Grid,12152722,N,Y,41.6328607,-88.1327925
MLS Listing,,Single Family Residential,2211 Candlewood Dr,Plainfield,IL,60586,360000,4,2.5,Wesmere,1318,6785,1996,12,273,94,Active,,,https://www.redfin.com/IL/Plainfield/2211-Candlewood-Dr-60586/home/23294294,MRED as Distributed by MLS Grid,12155673,N,Y,41.562125,-88.2107508
MLS Listing,,Single Family Residential,27122 Thornwood Blvd,Plainfield,IL,60585,749900,4,3.5,Grande Park,4433,12462,2007,13,169,96,Active,,,https://www.redfin.com/IL/Plainfield/27122-Thornwood-Blvd-60585/home/21716365,MRED as Distributed by MLS Grid,12145975,N,Y,41.6403407,-88.2768523
MLS Listing,,Single Family Residential,16058 S Clearwater Dr,Plainfield,IL,60586,519900,3,2.0,Creekside Crossing,2441,11325,2024,13,213,33,Active,,,https://www.redfin.com/IL/Plainfield/16058-S-Clearwater-Dr-60586/home/189604058,MRED as Distributed by MLS Grid,12154704,N,Y,41.5897959,-88.2414249
MLS Listing,,Townhouse,4905 Courtland Cir,Plainfield,IL,60586,265000,2,1.5,Hampton Glen,1484,3608,2006,13,179,239,Active,,,https://www.redfin.com/IL/Plainfield/4905-Courtland-Cir-60586/home/23385195,MRED as Distributed by MLS Grid,12153098,N,Y,41.5453777,-88.2028769
MLS Listing,,Single Family Residential,14815 S Starflower Cir,Plainfield,IL,60544,564090,4,2.5,Greenbriar,2836,10080,2024,14,199,43,Active,,,https://www.redfin.com/IL/Plainfield/14815-S-Starflower-Cir-60544/home/190846919,MRED as Distributed by MLS Grid,12154457,N,Y,41.6112828,-88.2398848
MLS Listing,,Single Family Residential,14723 S Greenbriar Dr,Plainfield,IL,60544,486990,2,2.0,Greenbriar,1863,7375,2024,14,261,112,Active,,,https://www.redfin.com/IL/Plainfield/14723-S-Greenbriar-Dr-60544/home/190962510,MRED as Distributed by MLS Grid,12154384,N,Y,41.6103036,-88.2386725
MLS Listing,,Single Family Residential,13917 S Marybrook Dr,Plainfield,IL,60544,319000,3,1.5,Plainfield,1500,,1972,14,213,,Active,,,https://www.redfin.com/IL/Plainfield/13917-S-Marybrook-Dr-60544/home/23344384,MRED as Distributed by MLS Grid,12154337,N,Y,41.6285883,-88.2077834
MLS Listing,,Single Family Residential,13161 Wood Duck Dr,Plainfield,IL,60585,1050000,4,3.5,The Lakelands,6400,,1997,14,164,148,Active,,,https://www.redfin.com/IL/Plainfield/13161-Wood-Duck-Dr-60585/home/23260099,MRED as Distributed by MLS Grid,12153909,N,Y,41.6434408,-88.1728209
MLS Listing,,Single Family Residential,2219 Van Horn Ct,Plainfield,IL,60586,348480,3,2.5,Riverside,2107,,1994,15,165,30,Active,,,https://www.redfin.com/IL/Plainfield/2219-Van-Horn-Ct-60586/home/23369198,MRED as Distributed by MLS Grid,12153237,N,Y,41.5618234,-88.1900929
MLS Listing,,Single Family Residential,16154 S George Ct,Plainfield,IL,60586,400000,3,2.0,Peerless Estates,1822,16552,1977,17,220,,Active,,,https://www.redfin.com/IL/Plainfield/16154-S-George-Ct-60586/home/23383482,MRED as Distributed by MLS Grid,12152495,N,Y,41.5890823,-88.187971
MLS Listing,,Single Family Residential,14924 S Case St,Plainfield,IL,60544,635000,4,3.5,Fairfield Ridge,3463,,2016,17,183,56,Active,,,https://www.redfin.com/IL/Plainfield/14924-S-Case-St-60544/home/62627465,MRED as Distributed by MLS Grid,12152420,N,Y,41.610419,-88.2196883
MLS Listing,,Townhouse,13903 S Oakdale Ct,Plainfield,IL,60544,274000,2,2.5,Lakewood Falls,1382,,1995,18,198,73,Active,,,https://www.redfin.com/IL/Plainfield/13903-S-Oakdale-Ct-60544/home/23401019,MRED as Distributed by MLS Grid,12150942,N,Y,41.6293191,-88.1625916
MLS Listing,,Single Family Residential,1909 Overland Dr,Plainfield,IL,60586,474990,4,2.5,Ashford Place,2356,,2024,18,202,31,Active,,,https://www.redfin.com/IL/Plainfield/1909-Overland-DR-60586/home/192295712,MRED as Distributed by MLS Grid,12151874,N,Y,41.55691146850586,-88.24971771240234
MLS Listing,,Single Family Residential,1904 Legacy Pointe Blvd,Plainfield,IL,60586,469990,4,2.5,Ashford Place,2356,9375,2024,18,199,31,Active,,,https://www.redfin.com/IL/Plainfield/1904-Legacy-Pointe-Blvd-60586/home/192295742,MRED as Distributed by MLS Grid,12151838,N,Y,41.5584001,-88.2472235
