SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1534 General Collins Ave,New Orleans,LA,70114,235000,4,2.5,New Orleans,2041,12501,1965,6,115,,Active,,,https://www.redfin.com/LA/New-Orleans/1534-General-Collins-Ave-70114/home/85476711,GSREIN,2467220,N,Y,29.9382309,-90.0141926
MLS Listing,,Single Family Residential,515 Homer St,New Orleans,LA,70114,406000,3,2.5,New Orleans,1682,4094,2019,26,241,,Active,,,https://www.redfin.com/LA/New-Orleans/515-Homer-St-70114/home/85473612,GSREIN,2464541,N,Y,29.9463439,-90.0505574
MLS Listing,,Multi-Family (2-4 Unit),5135-5137 Arts St,New Orleans,LA,70122,239000,4,2.0,New Orleans,1840,5950,1973,37,130,,Active,,,https://www.redfin.com/LA/New-Orleans/5135-Arts-St-70122/home/79384104,GSREIN,2462623,N,Y,30.011447,-90.053475
MLS Listing,,Condo/Co-op,2222 Carondelet St Unit A,New Orleans,LA,70130,249000,1,1.0,New Orleans,716,858,1920,40,348,259,Active,,,https://www.redfin.com/LA/New-Orleans/2222-Carondelet-St-70130/unit-A/home/79178072,GSREIN,2462340,N,Y,29.9344356,-90.0816441
MLS Listing,,Single Family Residential,1720 N Rocheblave St,New Orleans,LA,70119,399000,3,2.0,New Orleans,1872,4734,2024,69,213,,Active,,,https://www.redfin.com/LA/New-Orleans/1720-N-Rocheblave-St-70119/home/85423002,GSREIN,2457377,N,Y,29.979308,-90.070733
MLS Listing,,Single Family Residential,158 E Henfer Ave,River Ridge,LA,70123,319000,3,2.5,River Ridge,2068,6181,1960,77,154,,Active,,,https://www.redfin.com/LA/New-Orleans/158-E-Henfer-Ave-70123/home/85243320,GSREIN,2454119,N,Y,29.9594318,-90.2222803
MLS Listing,,Single Family Residential,3700 Piedmont Dr,New Orleans,LA,70122,235000,3,2.0,New Orleans,1621,5998,1950,77,145,,Active,,,https://www.redfin.com/LA/New-Orleans/3700-Piedmont-Dr-70122/home/85434578,GSREIN,2456653,N,Y,29.9960652,-90.0540146
MLS Listing,,Single Family Residential,13434 Lourdes St,New Orleans,LA,70129,185000,4,3.0,Village De L'Est,2200,6599,1980,89,84,,Active,,,https://www.redfin.com/LA/New-Orleans/13434-Lourdes-St-70129/home/85463908,GSREIN,2454707,N,Y,30.0348599,-89.9262384
MLS Listing,,Multi-Family (2-4 Unit),131 N Rendon St,New Orleans,LA,70119,398000,5,2.0,New Orleans,1790,3598,1921,89,222,,Active,,,https://www.redfin.com/LA/New-Orleans/131-N-Rendon-St-70119/home/85412304,GSREIN,2454735,N,Y,29.9700579,-90.0923694
MLS Listing,,Single Family Residential,23 Idlewood Pl,River Ridge,LA,70123,749000,4,3.0,River Ridge,3037,18891,1962,103,247,,Active,,,https://www.redfin.com/LA/River-Ridge/23-Idlewood-Pl-70123/home/85180491,GSREIN,2452441,N,Y,29.9664884,-90.2114691
MLS Listing,,Vacant Land,141 Horseshoe Bnd,New Orleans,LA,70128,49000,0,,Eastover,,21714,,113,,,Active,,,https://www.redfin.com/LA/New-Orleans/141-Horseshoe-Bnd-70128/home/85447114,GSREIN,2450828,N,Y,30.037744,-89.944631
MLS Listing,,Condo/Co-op,827 Burgundy St Unit E,New Orleans,LA,70116,272999,1,1.0,New Orleans,651,448,1839,131,419,384,Active,,,https://www.redfin.com/LA/New-Orleans/827-Burgundy-St-70116/unit-E/home/85518991,GSREIN,2447262,N,Y,29.9612543,-90.0663409
MLS Listing,,Single Family Residential,2320 2nd St,New Orleans,LA,70113,250800,3,2.0,New Orleans,1330,3223,2014,139,189,,Active,,,https://www.redfin.com/LA/New-Orleans/2320-2nd-St-70113/home/85515090,GSREIN,2446196,N,Y,29.9384155,-90.0882987
MLS Listing,,Single Family Residential,3444 Toledano St,New Orleans,LA,70125,349900,3,2.0,New Orleans,1500,3009,,158,233,,Active,,,https://www.redfin.com/LA/New-Orleans/3444-Toledano-St-70125/home/85491477,GSREIN,2442988,N,Y,29.946774,-90.0991374
MLS Listing,,Vacant Land,1428 Japonica St,New Orleans,LA,70117,50000,0,,New Orleans,,4199,,1,,,Active,,,https://www.redfin.com/LA/New-Orleans/1428-Japonica-St-70117/home/85451650,GSREIN,2468030,N,Y,29.9678737,-90.0284309
MLS Listing,,Vacant Land,2722 Benefit St,New Orleans,LA,70122,30000,0,,New Orleans,,4800,,1,,,Active,,,https://www.redfin.com/LA/New-Orleans/2722-Benefit-St-70122/home/85432775,GSREIN,2468027,N,Y,29.9913205,-90.0464558
MLS Listing,,Vacant Land,1328501 General Meyer Ave,New Orleans,LA,70131,790000,0,,New Orleans,,158122,,1,,,Active,,,https://www.redfin.com/LA/New-Orleans/1328501-General-Meyer-Ave-70131/home/192601694,GSREIN,2467638,N,Y,29.928688,-89.995728
MLS Listing,,Vacant Land,8928001 Hart St,New Orleans,LA,70131,6500,0,,New Orleans,,2500,,1,,,Active,,,https://www.redfin.com/LA/New-Orleans/8928001-Hart-St-70131/home/85507632,GSREIN,2468016,N,Y,29.913055,-89.970966
MLS Listing,,Vacant Land,21104 Chef Menteur Hwy,New Orleans,LA,70129,33000,0,,New Orleans,,,,1,,,Active,,,https://www.redfin.com/LA/New-Orleans/21104-Chef-Menteur-Hwy-70129/home/192601177,GSREIN,2467892,N,Y,30.070203,-89.8020417
MLS Listing,,Single Family Residential,15 Park Island Dr,New Orleans,LA,70122,1800000,5,4.5,New Orleans,2925,10519,1960,1,615,,Active,,,https://www.redfin.com/LA/New-Orleans/15-Park-Island-Dr-70122/home/79291621,GSREIN,2467994,N,Y,30.0006917,-90.0838703
MLS Listing,,Vacant Land,8933001 Edward St,New Orleans,LA,70131,6500,0,,New Orleans,,2500,,1,,,Active,,,https://www.redfin.com/LA/New-Orleans/8933001-Edward-St-70131/home/85471924,GSREIN,2468012,N,Y,29.913081,-89.971281
MLS Listing,,Single Family Residential,6020 Orleans Ave #1,New Orleans,LA,70124,345000,2,2.0,New Orleans,1714,,1990,1,201,,Active,,,https://www.redfin.com/LA/New-Orleans/6020-Orleans-Ave-70124/unit-1/home/192600501,GSREIN,2467990,N,Y,29.9990786,-90.1012697
MLS Listing,,Condo/Co-op,1208 Carondelet St #1208,New Orleans,LA,70130,445000,3,2.0,New Orleans,1830,,1921,1,243,,Active,,,https://www.redfin.com/LA/New-Orleans/1208-Carondelet-St-70130/unit-1208/home/185948805,GSREIN,2461228,N,Y,29.9418223,-90.0751404
MLS Listing,,Single Family Residential,7001 Morrison Rd,New Orleans,LA,70127,218500,3,2.0,Kenilworth,1900,,1983,1,115,,Active,,,https://www.redfin.com/LA/New-Orleans/7001-Morrison-Rd-70126/home/79208653,GSREIN,2467919,N,Y,30.0306755,-90.0107369
MLS Listing,,Single Family Residential,7853 Briarwood Dr,New Orleans,LA,70128,139000,3,2.0,New Orleans,1908,5000,1985,1,73,,Active,,,https://www.redfin.com/LA/New-Orleans/7853-Briarwood-Dr-70128/home/85446479,GSREIN,2466194,N,Y,30.0658255,-89.955443
MLS Listing,,Vacant Land,3928 Erato St,New Orleans,LA,70125,65000,0,,New Orleans,3840,,,1,17,,Active,,,https://www.redfin.com/LA/New-Orleans/3928-Erato-St-70125/home/79173635,GSREIN,2467686,N,Y,29.952725,-90.096738
MLS Listing,,Single Family Residential,5811 Royal St,New Orleans,LA,70117,315000,3,2.5,New Orleans,1715,,2023,1,184,,Active,,,https://www.redfin.com/LA/New-Orleans/5811-Royal-St-70117/home/85513189,GSREIN,2467985,N,Y,29.9566729,-90.0147495
MLS Listing,,Condo/Co-op,220 Decatur St #206,New Orleans,LA,70130,385000,1,1.5,New Orleans,852,,1872,1,452,280,Active,,,https://www.redfin.com/LA/New-Orleans/220-Decatur-St-70130/unit-206/home/144981881,GSREIN,2466858,N,Y,29.9531006,-90.0658632
MLS Listing,,Multi-Family (2-4 Unit),2801 Palmer Ave,New Orleans,LA,70118,750000,4,4.0,New Orleans,2640,,1920,1,284,,Active,,,https://www.redfin.com/LA/New-Orleans/2801-Palmer-Ave-70118/home/85516573,GSREIN,2467984,N,Y,29.943015,-90.1142177
MLS Listing,,Multi-Family (2-4 Unit),3309 A B General Taylor St,New Orleans,LA,70125,375000,8,4.5,New Orleans,4000,,1943,1,94,,Active,,,https://www.redfin.com/LA/New-Orleans/3309-A-B-General-Taylor-St-70125/home/184142441,GSREIN,2464319,N,Y,29.9415968,-90.100182
MLS Listing,,Condo/Co-op,900 Bartholomew St #415,New Orleans,LA,70117,330000,1,1.5,Bywater,839,,2019,1,393,428,Active,,,https://www.redfin.com/LA/New-Orleans/900-Bartholomew-St-70117/unit-415/home/168236943,GSREIN,2467965,N,Y,29.9636282,-90.0361131
MLS Listing,,Single Family Residential,2131 St. Roch Ave,New Orleans,LA,70117,299000,3,3.0,New Orleans,1507,,2024,1,198,,Active,September-24-2024 11:30 AM,September-24-2024 02:00 PM,https://www.redfin.com/LA/New-Orleans/2131-Saint-Roch-Ave-70117/home/85432162,GSREIN,2467465,N,Y,29.979891,-90.0527855
MLS Listing,,Condo/Co-op,900 Bartholomew St #516,New Orleans,LA,70117,450000,2,2.0,Bywater,1129,,2019,1,399,576,Active,,,https://www.redfin.com/LA/New-Orleans/900-Bartholomew-St-70117/unit-516/home/168236977,GSREIN,2467955,N,Y,29.9636282,-90.0361131
MLS Listing,,Multi-Family (2-4 Unit),812 14 Foucher St,New Orleans,LA,70115,535000,6,2.0,New Orleans,2176,,1900,1,246,,Active,,,https://www.redfin.com/LA/New-Orleans/812-Foucher-St-70115/home/85484877,GSREIN,2467953,N,Y,29.9195285,-90.0909669
MLS Listing,,Single Family Residential,3421 Georgia St,New Orleans,LA,70114,450000,3,2.5,New Orleans,2000,8001,2023,1,225,,Active,,,https://www.redfin.com/LA/New-Orleans/3421-Georgia-St-70114/home/79218728,GSREIN,2467326,N,Y,29.9268539,-90.032452
MLS Listing,,Condo/Co-op,900 Bartholomew St #321,New Orleans,LA,70117,335000,1,1.5,Bywater,864,,2019,1,388,441,Active,,,https://www.redfin.com/LA/New-Orleans/900-Bartholomew-St-70117/unit-321/home/140023907,GSREIN,2467952,N,Y,29.9636282,-90.0361131
MLS Listing,,Multi-Family (2-4 Unit),6808 W Coronet Ct,New Orleans,LA,70126,360000,9,6.5,New Orleans,4000,,1967,1,90,,Active,,,https://www.redfin.com/LA/New-Orleans/6808-W-Coronet-Ct-70126/home/85512776,GSREIN,2467937,N,Y,30.025651,-90.0014557
MLS Listing,,Condo/Co-op,900 Bartholomew St #306,New Orleans,LA,70117,390000,2,2.0,Bywater,1120,,2019,1,348,572,Active,,,https://www.redfin.com/LA/New-Orleans/900-Bartholomew-St-70117/unit-306/home/168236918,GSREIN,2467281,N,Y,29.9636282,-90.0361131
MLS Listing,,Multi-Family (2-4 Unit),1523 25 Saint Philip St,New Orleans,LA,70116,539000,5,4.0,New Orleans,2440,,1880,1,221,,Active,,,https://www.redfin.com/LA/New-Orleans/1523-Saint-Philip-St-70116/home/79442719,GSREIN,2466506,N,Y,29.965742,-90.0699494
MLS Listing,,Single Family Residential,13026 Cherbourg St,New Orleans,LA,70129,189000,4,2.5,Village De L'Est,2300,6481,1976,1,82,,Active,,,https://www.redfin.com/LA/New-Orleans/13026-Cherbourg-St-70129/home/79218075,GSREIN,2467744,N,Y,30.0348564,-89.9327061
MLS Listing,,Single Family Residential,6141 Mandeville St,New Orleans,LA,70122,450000,4,3.5,Mandeville N,2589,4830,2024,1,174,,Active,September-22-2024 10:00 AM,September-22-2024 12:00 PM,https://www.redfin.com/LA/New-Orleans/6141-Mandeville-St-70122/home/85511739,GSREIN,2467464,N,Y,30.021957,-90.058391
MLS Listing,,Multi-Family (2-4 Unit),8430-32 Jeannette St,New Orleans,LA,70118,375000,4,2.0,New Orleans,1561,,1940,1,240,,Active,,,https://www.redfin.com/LA/New-Orleans/8430-Jeannette-St-70118/home/85496937,GSREIN,2467100,N,Y,29.9518892,-90.1306974
MLS Listing,,Single Family Residential,693 St George Ave,Jefferson,LA,70121,489500,3,2.0,Jefferson,1672,,2023,1,293,,Active,,,https://www.redfin.com/LA/New-Orleans/693-St-George-Ave-70121/home/179340404,GSREIN,2467857,N,Y,29.9616593,-90.1781554
MLS Listing,,Multi-Family (2-4 Unit),4229 31 Annunciation St,New Orleans,LA,70115,405000,4,2.0,New Orleans,2450,,1900,1,165,,Active,,,https://www.redfin.com/LA/New-Orleans/4229-Annunciation-St-70115/home/85485150,GSREIN,2467844,N,Y,29.9183126,-90.0996483
MLS Listing,,Multi-Family (2-4 Unit),2114-16 Mandeville St,New Orleans,LA,70117,169000,2,2.0,New Orleans,1216,,,1,139,,Active,,,https://www.redfin.com/LA/New-Orleans/2114-Mandeville-St-70117/home/85431254,GSREIN,2467804,N,Y,29.9792102,-90.0553933
MLS Listing,,Single Family Residential,8534 Jeannette St,New Orleans,LA,70118,549000,3,2.5,New Orleans,1870,,1910,1,294,,Active,,,https://www.redfin.com/LA/New-Orleans/8534-Jeannette-St-70118/home/79271957,GSREIN,2467836,N,Y,29.9525479,-90.1316456
MLS Listing,,Multi-Family (2-4 Unit),634 Eighth St,New Orleans,LA,70115,799500,4,5.0,New Orleans,3213,,1900,1,249,,Active,September-21-2024 03:00 PM,September-21-2024 05:00 PM,https://www.redfin.com/LA/New-Orleans/634-8th-St-70115/home/85467420,GSREIN,2467764,N,Y,29.9208623,-90.082897
MLS Listing,,Single Family Residential,8515 Spruce St,New Orleans,LA,70118,445000,3,2.5,New Orleans,1703,,2021,1,261,,Active,,,https://www.redfin.com/LA/New-Orleans/8515-Spruce-St-70118/home/85497166,GSREIN,2467729,N,Y,29.9561646,-90.1273197
MLS Listing,,Multi-Family (2-4 Unit),2228 30 3rd St,New Orleans,LA,70113,435000,6,5.0,New Orleans,2270,2252,1978,1,192,,Active,,,https://www.redfin.com/LA/New-Orleans/2228-3rd-St-70113/home/85470138,GSREIN,2467799,N,Y,29.9373213,-90.088566
MLS Listing,,Single Family Residential,1929 S Rendon St,New Orleans,LA,70125,275000,2,1.5,New Orleans,1377,3149,1958,1,200,,Active,September-21-2024 11:00 AM,September-21-2024 12:30 PM,https://www.redfin.com/LA/New-Orleans/1929-S-Rendon-St-70125/home/85490966,GSREIN,2467815,N,Y,29.951906,-90.1071987
MLS Listing,,Single Family Residential,116 Oak Tree Dr,New Orleans,LA,70124,1145000,4,3.5,New Orleans,3450,,2017,1,332,58,Active,September-22-2024 03:00 PM,September-22-2024 05:00 PM,https://www.redfin.com/LA/New-Orleans/116-Oak-Tree-Dr-70124/home/109879555,GSREIN,2467746,N,Y,29.9924893,-90.1184765
MLS Listing,,Single Family Residential,4651 Lancelot Dr,New Orleans,LA,70127,125000,3,1.5,Castle Manor,1129,,1975,2,111,,Active,,,https://www.redfin.com/LA/New-Orleans/4651-Lancelot-Dr-70127/home/85514314,GSREIN,2467805,N,Y,30.0187899,-89.9848595
MLS Listing,,Single Family Residential,5337 Chartres St,New Orleans,LA,70117,275000,2,2.0,New Orleans,1209,,1938,2,227,,Active,,,https://www.redfin.com/LA/New-Orleans/5337-Chartres-St-70117/home/79225016,GSREIN,2467208,N,Y,29.9569488,-90.0203286
MLS Listing,,Single Family Residential,1417 Moss Ln,River Ridge,LA,70123,579000,5,3.5,Rural Park,3268,,1983,2,177,,Active,,,https://www.redfin.com/LA/New-Orleans/1417-Moss-Ln-70123/home/79257714,GSREIN,2467733,N,Y,29.9568368,-90.204814
MLS Listing,,Condo/Co-op,1325 Sixth St Unit --,New Orleans,LA,70115,325000,2,2.0,New Orleans,908,,1887,2,358,379,Active,,,https://www.redfin.com/LA/New-Orleans/1325-6th-St-70115/home/79399803,GSREIN,2467580,N,Y,29.9277046,-90.0854222
MLS Listing,,Single Family Residential,3420 Willow St,New Orleans,LA,70115,160000,3,1.0,New Orleans,808,,2005,2,198,,Active,,,https://www.redfin.com/LA/New-Orleans/3420-Willow-St-70115/home/85489790,GSREIN,2467740,N,Y,29.9396315,-90.0976864
MLS Listing,,Single Family Residential,1705 Burgundy St,New Orleans,LA,70116,1200000,3,3.5,New Orleans,2638,3001,1848,2,455,,Active,,,https://www.redfin.com/LA/New-Orleans/1705-Burgundy-St-70116/home/79450721,GSREIN,2467727,N,Y,29.9662248,-90.0619407
MLS Listing,,Condo/Co-op,1001 Julia St Unit 11G,New Orleans,LA,70113,575000,1,1.0,New Orleans,947,239,2018,2,607,885,Active,,,https://www.redfin.com/LA/New-Orleans/1001-Julia-St-70113/unit-11G/home/113377121,GSREIN,2467617,N,Y,29.9469103,-90.0756644
MLS Listing,,Single Family Residential,1639 Arts St,New Orleans,LA,70117,195000,2,2.0,New Orleans,1250,,2023,2,156,,Active,,,https://www.redfin.com/LA/New-Orleans/1639-Arts-St-70117/home/85520485,GSREIN,2467257,N,Y,29.9748824,-90.050131
MLS Listing,,Single Family Residential,915 Dauphine St,New Orleans,LA,70116,1650000,4,3.5,New Orleans,3130,,1897,2,527,,Active,,,https://www.redfin.com/LA/New-Orleans/915-Dauphine-St-70116/home/79398794,GSREIN,2467469,N,Y,29.9612425,-90.0648309
MLS Listing,,Single Family Residential,1010 Burgundy St,New Orleans,LA,70116,995500,3,3.5,New Orleans,2436,1951,1835,2,409,,Active,,,https://www.redfin.com/LA/New-Orleans/1010-Burgundy-St-70116/home/79213820,GSREIN,2467705,N,Y,29.9624498,-90.0649559
MLS Listing,,Condo/Co-op,2100 Saint Charles Ave Unit 9E,New Orleans,LA,70130,279000,1,1.0,New Orleans,760,,1965,2,367,770,Active,,,https://www.redfin.com/LA/New-Orleans/2100-Saint-Charles-Ave-70130/unit-9E/home/85468787,GSREIN,2467452,N,Y,29.9341524,-90.0798752
MLS Listing,,Condo/Co-op,1916 Prytania St Unit A,New Orleans,LA,70130,239600,1,1.0,New Orleans,599,,1920,2,400,374,Active,,,https://www.redfin.com/LA/New-Orleans/1916-Prytania-St-70130/unit-A/home/85469243,GSREIN,2466508,N,Y,29.9342792,-90.0774105
MLS Listing,,Multi-Family (2-4 Unit),505 Newton St,New Orleans,LA,70114,95000,4,2.0,Algiers Riverpoint,1284,4094,1977,2,74,,Active,,,https://www.redfin.com/LA/New-Orleans/505-Newton-St-70114/home/85473345,GSREIN,2467646,N,Y,29.9453345,-90.0507433
MLS Listing,,Single Family Residential,4400 Alba Rd,New Orleans,LA,70129,99000,4,2.0,Venetian Isles,1792,12479,1970,2,55,,Active,,,https://www.redfin.com/LA/New-Orleans/4400-Alba-Rd-70129/home/85464646,GSREIN,2467574,N,Y,30.0670112,-89.8134891
MLS Listing,,Single Family Residential,4231 San Trovaso St,New Orleans,LA,70129,325000,3,2.5,Venetian Isles,2541,,1988,2,128,,Active,,,https://www.redfin.com/LA/New-Orleans/4231-San-Trovaso-St-70129/home/85466639,GSREIN,2467476,N,Y,30.066518,-89.8185589
MLS Listing,,Single Family Residential,312 S Lopez St,New Orleans,LA,70119,449000,3,3.5,New Orleans,1885,,1914,2,238,,Active,,,https://www.redfin.com/LA/New-Orleans/312-S-Lopez-St-70119/home/79317210,GSREIN,2467663,N,Y,29.9664547,-90.0935694
MLS Listing,,Multi-Family (2-4 Unit),2260 N Roman St,New Orleans,LA,70117,350000,6,2.0,New Orleans,2284,3070,1944,2,153,,Active,,,https://www.redfin.com/LA/New-Orleans/2260-N-Roman-St-70117/home/85431440,GSREIN,2467602,N,Y,29.9756873,-90.0553816
MLS Listing,,Single Family Residential,6509 Marshall Foch St,New Orleans,LA,70124,699000,4,3.5,New Orleans,2850,,2007,2,245,,Active,,,https://www.redfin.com/LA/New-Orleans/6509-Marshal-Foch-St-70124/home/79453916,GSREIN,2467578,N,Y,30.0085118,-90.103003
MLS Listing,,Single Family Residential,2327 S Derbigny St,New Orleans,LA,70125,194999,3,2.0,New Orleans,946,871,2007,2,206,,Active,,,https://www.redfin.com/LA/New-Orleans/2327-S-Derbigny-St-70125/home/192574935,GSREIN,2467525,N,Y,29.9456993,-90.0915409
MLS Listing,,Multi-Family (2-4 Unit),2351 S Derbigny St,New Orleans,LA,70125,325000,4,4.0,New Orleans,1936,1860,2007,2,168,,Active,,,https://www.redfin.com/LA/New-Orleans/2351-S-Derbigny-St-70125/home/192574846,GSREIN,2467530,N,Y,29.9454537,-90.0919808
MLS Listing,,Single Family Residential,5453 Chartres St,New Orleans,LA,70117,379000,3,2.5,New Orleans,1630,,2024,2,233,,Active,,,https://www.redfin.com/LA/New-Orleans/5453-Chartres-St-70117/home/85522134,GSREIN,2466921,N,Y,29.9565488,-90.0187831
MLS Listing,,Vacant Land,2347 S Derbigny St,New Orleans,LA,70125,20000,0,,New Orleans,1562,17424,,2,13,,Active,,,https://www.redfin.com/LA/New-Orleans/2347-S-Derbigny-St-70125/home/85471258,GSREIN,2467033,N,Y,29.945524,-90.091887
MLS Listing,,Multi-Family (2-4 Unit),725-727 Voisin St,New Orleans,LA,70124,385000,4,2.0,New Orleans,1800,,1967,2,214,,Active,September-18-2024 11:30 AM,September-18-2024 01:00 PM,https://www.redfin.com/LA/New-Orleans/725-Voisin-St-70124/home/79428933,GSREIN,2466004,N,Y,29.988372,-90.108919
